CST,Max TemperatureF,Mean TemperatureF,Min TemperatureF,Max Dew PointF,MeanDew PointF,Min DewpointF,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressureIn, Mean Sea Level PressureIn, Min Sea Level PressureIn, Max VisibilityMiles, Mean VisibilityMiles, Min VisibilityMiles, Max Wind SpeedMPH, Mean Wind SpeedMPH, Max Gust SpeedMPH,PrecipitationIn, CloudCover, Events, WindDirDegrees
2011-1-1,41,28,14,30,12,3,76,63,49,30.15,29.93,29.73,10,10,10,29,19,40,T,6,Snow,251
2011-1-2,24,18,12,14,8,4,76,60,44,30.24,30.19,30.13,10,10,10,20,11,25,0.00,1,,239
2011-1-3,36,29,22,23,18,15,78,63,47,30.12,30.05,29.94,10,10,10,15,8,20,0.00,5,,228
2011-1-4,30,22,13,22,13,5,81,70,59,30.11,30.00,29.90,10,10,10,20,10,25,0.00,2,,269
2011-1-5,31,20,8,25,14,4,83,68,53,30.08,29.91,29.74,10,10,6,16,6,20,T,6,Snow,224
2011-1-6,28,23,18,21,14,4,81,60,38,29.75,29.68,29.60,10,8,2,21,11,26,T,6,Snow,305
2011-1-7,22,17,12,14,10,4,80,66,52,29.57,29.47,29.40,10,6,1,21,11,24,0.02,8,Snow,299
2011-1-8,24,17,9,11,6,2,76,65,54,30.13,29.85,29.57,10,10,10,22,14,28,T,2,,313
2011-1-9,31,20,9,14,9,3,76,60,43,30.41,30.32,30.14,10,10,10,10,3,15,0.00,3,,301
2011-1-10,33,26,18,18,15,9,84,60,36,30.45,30.38,30.26,10,10,8,18,8,26,0.00,7,,108
2011-1-11,27,25,22,24,21,17,96,80,63,30.25,30.13,30.02,10,3,0,20,11,25,0.31,8,Fog-Snow,20
2011-1-12,26,23,20,19,17,16,91,80,68,30.49,30.37,30.20,10,10,10,21,13,25,T,7,Snow,320
2011-1-13,24,20,15,18,15,12,92,79,65,30.52,30.43,30.33,10,8,4,13,7,16,T,8,Snow,229
2011-1-14,24,20,16,18,15,12,92,80,68,30.32,30.23,30.07,9,8,3,15,6,20,0.01,8,Snow,201
2011-1-15,24,19,13,19,14,9,91,80,68,30.26,30.09,29.92,10,8,5,20,12,24,T,7,Snow,296
2011-1-16,22,14,6,16,9,2,88,75,62,30.33,30.24,30.11,10,10,8,14,5,26,T,6,Snow,329
2011-1-17,32,25,18,32,23,13,100,87,73,30.13,29.80,29.65,10,4,1,24,12,31,0.31,8,Rain-Snow,175
2011-1-18,32,26,19,32,25,16,100,89,78,30.00,29.81,29.65,10,5,1,20,11,26,0.10,8,Snow,340
2011-1-19,23,19,15,15,11,7,84,72,59,30.22,30.10,29.97,10,10,7,16,9,18,T,7,Snow,316
2011-1-20,19,12,5,9,6,-5,73,65,56,30.22,30.07,29.96,10,9,6,23,11,31,T,7,Snow,274
2011-1-21,8,2,-4,-1,-8,-11,79,64,49,30.18,30.11,30.01,10,10,10,18,8,23,0.00,3,,272
2011-1-22,17,11,5,8,4,-3,83,74,64,30.16,29.95,29.86,10,7,2,17,11,22,0.01,7,Snow,258
2011-1-23,20,12,4,11,3,-5,80,63,45,30.33,30.23,30.11,10,7,2,17,9,20,0.01,6,Snow,116
2011-1-24,27,21,15,25,18,10,100,89,77,30.12,30.04,29.96,9,5,1,16,10,22,0.03,8,Snow,208
2011-1-25,29,25,21,25,23,19,96,90,84,30.16,30.09,30.03,5,4,3,10,5,14,T,8,,240
2011-1-26,28,23,18,25,19,12,92,85,77,30.08,30.04,29.98,9,5,2,13,7,18,T,8,Snow,299
2011-1-27,25,21,17,21,18,14,100,87,74,30.03,29.87,29.75,9,4,0,16,10,21,0.03,8,Fog-Snow,244
2011-1-28,31,25,19,23,20,16,91,75,58,29.96,29.87,29.74,10,8,5,21,8,25,T,7,Snow,253
2011-1-29,33,30,26,27,24,23,92,79,66,30.10,29.92,29.71,10,7,3,20,7,24,T,8,Snow,294
2011-1-30,30,28,26,27,22,17,92,78,63,30.43,30.27,30.08,10,9,3,17,11,32,T,8,Snow,34
2011-1-31,26,23,20,18,16,12,91,77,63,30.44,30.26,30.15,10,7,1,22,15,30,0.09,8,Snow,74
2011-2-1,23,22,20,20,18,16,100,89,77,30.25,30.03,29.71,10,3,0,41,24,61,0.74,8,Snow-Thunderstorm,55
2011-2-2,23,14,5,20,14,1,100,80,59,30.50,30.03,29.67,10,3,0,39,18,51,0.74,6,Snow,354
2011-2-3,16,5,-6,0,-5,-9,80,61,42,30.53,30.45,30.31,10,10,10,20,11,24,0.00,1,,243
2011-2-4,25,15,5,10,2,-5,60,55,50,30.29,30.09,29.87,10,10,10,23,12,29,0.00,1,,223
2011-2-5,28,16,4,19,9,1,88,69,50,29.85,29.72,29.62,10,10,9,15,5,20,0.00,4,,234
2011-2-6,32,28,24,29,26,21,100,91,81,30.00,29.87,29.79,10,4,0,14,5,20,0.20,8,Fog-Snow,171
2011-2-7,32,26,19,23,20,16,92,78,63,30.09,30.01,29.93,10,6,0,14,6,21,0.13,8,Fog-Snow,346
2011-2-8,20,11,2,18,3,-8,91,71,51,30.41,30.27,30.06,10,9,5,21,11,26,T,4,Snow,304
