Year	Day	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec
2011	1	0.11	0.03	0.12	0.05	0.04	0	0	0.03	0.14	0.2	0.35	0.39
2011	2	0.05	0.01	0.06	0.02	0.01	0	0.01	0.08	0.23	0.3	0.46	0.49
2011	3	0.01	0	0.02	0	0	0.02	0.04	0.16	0.34	0.41	0.56	0.58
2011	4	0	0.01	0.01	0.01	0.01	0.06	0.1	0.26	0.45	0.51	0.65	0.67
2011	5	0.01	0.04	0	0.03	0.04	0.12	0.18	0.36	0.56	0.62	0.74	0.76
2011	6	0.04	0.09	0.02	0.06	0.08	0.2	0.28	0.48	0.66	0.71	0.82	0.83
2011	7	0.08	0.15	0.05	0.12	0.15	0.3	0.38	0.59	0.76	0.8	0.89	0.9
2011	8	0.14	0.22	0.1	0.19	0.23	0.41	0.5	0.7	0.84	0.87	0.94	0.95
2011	9	0.21	0.31	0.17	0.27	0.33	0.52	0.61	0.79	0.91	0.93	0.98	0.98
2011	10	0.3	0.4	0.24	0.37	0.43	0.63	0.72	0.87	0.96	0.97	1	1
2011	11	0.39	0.5	0.33	0.47	0.55	0.74	0.82	0.93	0.99	0.99	1	1
2011	12	0.48	0.6	0.43	0.58	0.66	0.84	0.89	0.97	1	1	0.98	0.97
2011	13	0.58	0.69	0.53	0.69	0.76	0.91	0.95	1	0.99	0.99	0.95	0.93
2011	14	0.67	0.79	0.63	0.79	0.86	0.97	0.99	1	0.97	0.96	0.9	0.87
2011	15	0.76	0.87	0.73	0.88	0.93	1	1	0.98	0.93	0.91	0.83	0.79
2011	16	0.84	0.94	0.83	0.95	0.98	1	0.99	0.94	0.87	0.85	0.74	0.69
2011	17	0.91	0.98	0.91	0.99	1	0.98	0.96	0.89	0.8	0.78	0.65	0.59
2011	18	0.96	1	0.96	1	0.99	0.93	0.91	0.82	0.72	0.69	0.54	0.48
2011	19	0.99	0.99	0.99	0.98	0.96	0.87	0.84	0.74	0.63	0.59	0.43	0.36
2011	20	1	0.94	0.99	0.93	0.9	0.8	0.77	0.66	0.53	0.49	0.32	0.26
2011	21	0.97	0.88	0.96	0.87	0.83	0.71	0.68	0.57	0.43	0.38	0.22	0.16
2011	22	0.92	0.79	0.91	0.78	0.74	0.62	0.59	0.47	0.33	0.28	0.13	0.08
2011	23	0.85	0.69	0.83	0.69	0.65	0.52	0.5	0.37	0.23	0.18	0.06	0.03
2011	24	0.75	0.58	0.73	0.59	0.55	0.43	0.4	0.28	0.15	0.1	0.02	0
2011	25	0.65	0.47	0.63	0.49	0.46	0.34	0.31	0.19	0.07	0.04	0	0
2011	26	0.53	0.37	0.53	0.39	0.36	0.25	0.22	0.11	0.02	0.01	0.01	0.03
2011	27	0.42	0.27	0.43	0.3	0.27	0.17	0.14	0.05	0	0	0.06	0.08
2011	28	0.32	0.19	0.33	0.22	0.19	0.1	0.08	0.01	0.01	0.03	0.12	0.14
2011	29	0.22		0.24	0.14	0.12	0.05	0.03	0	0.05	0.09	0.2	0.22
2011	30	0.14		0.16	0.08	0.07	0.01	0	0.02	0.11	0.16	0.29	0.31
2011	31	0.08		0.1		0.03		0	0.07		0.25		0.41
2012	1	0.5	0.6	0.52	0.64	0.69	0.85	0.91	0.99	0.99	0.99	0.95	0.94
2012	2	0.59	0.69	0.62	0.74	0.79	0.93	0.97	1	0.97	0.96	0.9	0.89
2012	3	0.68	0.78	0.71	0.83	0.88	0.98	1	0.98	0.93	0.91	0.84	0.82
2012	4	0.77	0.86	0.8	0.91	0.94	1	1	0.95	0.87	0.85	0.76	0.74
2012	5	0.84	0.92	0.88	0.96	0.99	0.99	0.97	0.89	0.79	0.78	0.67	0.64
2012	6	0.91	0.97	0.94	0.99	1	0.95	0.92	0.82	0.71	0.69	0.58	0.54
2012	7	0.96	0.99	0.98	1	0.98	0.89	0.85	0.74	0.62	0.6	0.48	0.44
2012	8	0.99	1	1	0.97	0.93	0.81	0.77	0.65	0.53	0.51	0.38	0.33
2012	9	1	0.98	0.99	0.91	0.86	0.72	0.68	0.55	0.43	0.41	0.28	0.23
2012	10	0.99	0.93	0.95	0.83	0.77	0.62	0.58	0.46	0.34	0.31	0.18	0.14
2012	11	0.96	0.86	0.89	0.74	0.67	0.52	0.48	0.36	0.25	0.22	0.1	0.07
2012	12	0.9	0.77	0.8	0.63	0.57	0.42	0.39	0.28	0.17	0.14	0.04	0.02
2012	13	0.83	0.67	0.7	0.52	0.47	0.33	0.3	0.19	0.1	0.07	0.01	0
2012	14	0.73	0.55	0.59	0.42	0.37	0.24	0.22	0.12	0.04	0.02	0	0.01
2012	15	0.63	0.44	0.48	0.32	0.27	0.17	0.14	0.07	0.01	0	0.03	0.05
2012	16	0.52	0.33	0.37	0.23	0.19	0.1	0.08	0.02	0	0.01	0.08	0.12
2012	17	0.4	0.23	0.27	0.15	0.12	0.05	0.04	0	0.02	0.04	0.16	0.2
2012	18	0.29	0.15	0.18	0.09	0.07	0.02	0.01	0.01	0.06	0.11	0.25	0.3
2012	19	0.2	0.08	0.11	0.04	0.03	0	0	0.03	0.13	0.19	0.36	0.4
2012	20	0.11	0.03	0.06	0.01	0.01	0	0.01	0.08	0.22	0.29	0.46	0.5
2012	21	0.05	0.01	0.02	0	0	0.03	0.05	0.16	0.32	0.4	0.57	0.6
2012	22	0.01	0	0	0.01	0.01	0.07	0.1	0.25	0.44	0.51	0.67	0.7
2012	23	0	0.02	0.01	0.03	0.05	0.13	0.18	0.35	0.55	0.62	0.76	0.78
2012	24	0.01	0.05	0.03	0.08	0.1	0.21	0.27	0.46	0.66	0.72	0.84	0.85
2012	25	0.04	0.11	0.06	0.13	0.16	0.3	0.38	0.58	0.76	0.81	0.9	0.91
2012	26	0.09	0.17	0.12	0.21	0.24	0.4	0.49	0.69	0.84	0.88	0.95	0.96
2012	27	0.16	0.25	0.18	0.29	0.33	0.51	0.6	0.79	0.91	0.94	0.98	0.99
2012	28	0.24	0.33	0.26	0.38	0.44	0.63	0.71	0.87	0.96	0.98	1	1
2012	29	0.32	0.42	0.35	0.48	0.55	0.73	0.81	0.94	0.99	1	1	0.99
2012	30	0.41		0.45	0.59	0.65	0.83	0.89	0.98	1	1	0.98	0.97
2012	31	0.51		0.54		0.76		0.95	1		0.98		0.93
2013	1	0.87	0.75	0.87	0.72	0.64	0.45	0.39	0.27	0.17	0.15	0.06	0.04
2013	2	0.79	0.65	0.78	0.61	0.53	0.35	0.3	0.19	0.1	0.08	0.02	0.01
2013	3	0.7	0.54	0.69	0.49	0.41	0.25	0.21	0.12	0.05	0.04	0	0
2013	4	0.6	0.43	0.58	0.38	0.31	0.17	0.14	0.07	0.02	0.01	0.01	0.02
2013	5	0.49	0.32	0.46	0.28	0.22	0.1	0.08	0.03	0	0	0.04	0.07
2013	6	0.38	0.21	0.35	0.18	0.14	0.05	0.04	0.01	0.01	0.02	0.1	0.15
2013	7	0.27	0.13	0.25	0.11	0.07	0.02	0.01	0	0.03	0.06	0.18	0.24
2013	8	0.18	0.06	0.16	0.05	0.03	0	0	0.02	0.08	0.12	0.28	0.35
2013	9	0.1	0.02	0.08	0.01	0.01	0	0.01	0.05	0.15	0.21	0.39	0.46
2013	10	0.04	0	0.03	0	0	0.02	0.04	0.11	0.24	0.31	0.5	0.57
2013	11	0.01	0.01	0.01	0.01	0.01	0.06	0.08	0.18	0.34	0.42	0.61	0.67
2013	12	0	0.05	0	0.03	0.05	0.11	0.14	0.27	0.45	0.53	0.72	0.76
2013	13	0.03	0.11	0.02	0.08	0.09	0.18	0.22	0.37	0.56	0.65	0.81	0.84
2013	14	0.08	0.18	0.06	0.14	0.16	0.26	0.31	0.48	0.67	0.75	0.88	0.91
2013	15	0.15	0.26	0.12	0.21	0.23	0.35	0.41	0.59	0.78	0.84	0.94	0.96
