Event	Year	Month	Day
perihelion	2011	1	3
aphelion	2011	7	4
spring	2011	3	20
fall	2011	9	23
summer	2011	6	21
winter	2011	12	22
perihelion	2012	1	5
aphelion	2012	7	5
spring	2012	3	20
fall	2012	9	22
summer	2012	6	20
winter	2012	12	21
perihelion	2013	1	2
aphelion	2013	7	5
spring	2013	3	20
fall	2013	9	22
summer	2013	6	21
winter	2013	12	21
perihelion	2014	1	4
aphelion	2014	7	4
spring	2014	3	20
fall	2014	9	23
summer	2014	6	21
winter	2014	12	21
perihelion	2015	1	4
aphelion	2015	7	6
spring	2015	3	20
fall	2015	9	23
summer	2015	6	21
winter	2015	12	22
daylight_savings_on	2011	3	13
daylight_savings_off	2011	11	6
daylight_savings_on	2012	3	11
daylight_savings_off	2012	11	4
daylight_savings_on	2013	3	10
daylight_savings_off	2013	11	3
daylight_savings_on	2014	3	9
daylight_savings_off	2014	11	2
daylight_savings_on	2015	3	8
daylight_savings_off	2015	11	1
